,altura,direccionviento,fechainstalacion,fechamuestra,humedad,latitud,localidad,longitud,nombre,nota,numero,operativa,precipitaciondia,precipitacionmes,precipitacionsemana,provincia,puntorocio,sensaciontermica,temperatura,temperaturamaxima,temperaturaminima,velocidadviento,u,v
0,197,247.5,11/06/2015,2016-08-04 13:30:00+00:00,100,-31.1903,Rio Primero,-63.4508,Acipro Santa Rosa 1,--,30076,1,0,0.4,0.4,Cordoba,7.9,7.9,7.9,7.9,3.2,0,0.0,0.0
1,0,67.5,14/06/2013,2016-08-04 13:20:00+00:00,72,-31.8729,San Javier,-65.3513,Agri food - 30015,--,30015,1,0,0,0,Cordoba,7.7,12.6,12.6,12.6,5.2,0.5,-0.4619397521018982,-0.19134171307086945
2,0,,24/06/2014,2016-07-16 03:40:00+00:00,95,-31.8936,San Justo,-62.5189,Alicia - 30038,--,30038,0,--,--,--,Cordoba,3.8,4.6,4.6,--,--,,,
3,0,,24/06/2014,2016-07-25 15:30:00+00:00,--,-30.9308,San Justo,-62.3747,Altos de Chipion - 30040,--,30040,0,--,--,--,Co,--,--,,--,--,,,
4,0,,24/06/2014,2016-07-25 15:20:00+00:00,71,-30.7579,Totoral,-63.6416,Cañada de Luque - 30030,--,30030,0,--,--,--,Córdoba,10.5,15.7,15.7,--,--,,,
5,0,,24/06/2014,2016-07-20 14:20:00+00:00,63,-31.2083,Colón,-64.0274,Colonia Tirolesa - 30032,--,30032,0,--,--,--,Cordoba,7.5,14.5,14.5,--,--,,,
6,0,,24/06/2014,2016-08-02 13:50:00+00:00,--,-31.3577,San Justo,-62.2565,Devoto - 30034,--,30034,0,--,0,0,Córdoba,--,--,,--,--,,,
7,198,22.5,26/12/2012,2016-08-04 13:20:00+00:00,96,-31.6507,Rio Segundo,-63.3158,Escuela Loza - 30006,--,30006,1,0.2,0.6,0.8,Córdoba,7.9,7.9,8.5,8.5,2.1,5.5,-2.1047589778900146,-5.0813374519348145
8,0,,24/06/2014,2016-01-01 13:50:00+00:00,--,-30.9286,Castellanos,-61.8461,Eusebia - 30039,--,30039,0,--,--,--,Santa Fe,--,--,,--,--,,,
9,0,,24/06/2014,2016-07-22 15:40:00+00:00,60,-31.3798,Castellanos,-61.9789,Josefina - 30035,--,30035,0,--,--,--,Santa Fe,7.7,15.4,15.4,--,--,,,
10,0,337.5,02/10/2013,2016-08-04 13:20:00+00:00,44,-32.9022,Rio Cuarto,-64.5608,La Aguada - 30021,--,30021,1,0.2,0.2,0.2,Córdoba,2.4,14.4,14.4,14.4,0.4,0,0.0,-0.0
11,701,22.5,13/02/2013,2016-06-16 22:10:00+00:00,68,-31.3609,Rio Primero,-63.9694,Monte Cristo -30007,--,30007,0,--,--,--,Cordoba,5.7,11.3,11.3,--,--,0,-0.0,-0.0
12,0,22.5,17/06/2013,2016-08-04 13:20:00+00:00,100,-30.9838,San Justo,-62.8568,Munic. Marull - 30014,--,30014,1,0.2,0.8,1.2,Cordoba,11.4,11.4,11.4,11.4,3.1,1.2,-0.45922017097473145,-1.1086554527282715
13,134,112.5,04/11/2014,2016-08-04 13:30:00+00:00,100,-30.899,Rio Primero,-63.2486,Municipalidad de La Puerta - 30048,--,30048,1,0.2,0.4,0.6,Cordoba,9.2,13.1,9.2,9.2,2.7,0.2,-0.1847759187221527,0.07653667777776718
14,0,,11/02/2014,2016-07-21 15:00:00+00:00,63,-32.0426,Río Segundo,-62.9334,Pozo del Molle - 30031,--,30031,0,--,--,--,Cordoba,7.6,14.5,14.5,--,--,,,
15,0,,24/06/2014,2016-07-21 15:20:00+00:00,63,-31.5712,San Justo,-63.067,Sacanta - 30036,--,30036,0,--,--,--,Córdoba,7.9,15,15,--,--,,,
16,0,,24/06/2014,2016-07-14 04:00:00+00:00,100,-31.3335,Río Segundo,-63.3834,Santiago Temple - 30029,--,30029,0,--,--,--,Córdoba,10.7,10.7,10.7,--,--,,,
17,0,,25/10/2014,2016-07-22 15:40:00+00:00,60,-30.2598,Rio Seco,-63.5682,Sebastian Elcano - 30046,--,30046,0,--,--,--,Cordoba,7.2,14.9,14.9,--,--,,,
18,0,,18/07/2013,2016-04-18 00:40:00+00:00,88,-33.1864,Juarez Celman,-63.2063,Serviagro-30012,--,30012,0,--,--,--,Cordoba,12.1,14.1,14.1,--,--,,,
19,0,,24/06/2014,2016-05-12 03:00:00+00:00,--,-32.3529,San Martin,-63.3326,Tio Pujio - 30037,--,30037,0,--,--,--,Cordoba,--,--,,--,--,,,
20,0,,24/06/2014,2016-07-26 12:00:00+00:00,--,-30.9664,Rio Primero,-63.1666,Villa Fontana 2 - 30041,--,30041,0,--,--,--,Cordoba,--,--,,--,--,,,
21,30,,23/10/2012,2016-08-04 13:30:00+00:00,83,-33.3928,Juarez Celman,-63.9078,Alejandro Roca - 94005,--,94005,1,0.2,1.2,1.6,Córdoba,11.6,14.4,14.4,14.4,2.4,,,
22,30,,15/09/2015,2016-08-04 13:30:00+00:00,98,-33.6081,Marcos Juarez,-62.6285,Alejo Ledesma - 94073,--,94073,1,0.2,0.8,1,Cordoba,10.3,10.6,10.6,10.6,6.4,,,
23,30,,19/04/2013,2016-08-04 13:30:00+00:00,88,-31.692,Santa María,-64.4293,Alta Gracia - 94025,--,94025,1,0.2,0.4,0.6,Córdoba,10.3,12.1,12.1,12.1,0.6,,,
24,30,,05/11/2013,2016-08-04 13:30:00+00:00,97,-30.9455,San Justo,-62.3209,Altos de Chipión - 94056,--,94056,1,0,0.2,0.4,Córdoba,13.2,13.7,13.7,13.8,5.8,,,
25,30,,18/10/2013,2016-08-04 13:30:00+00:00,95,-33.6212,Arias,-62.4128,Arias - 94052,--,94052,1,0.2,0.6,1,Córdoba,9.6,10.4,10.4,10.4,6.1,,,
26,30,,21/07/2015,2016-08-04 13:30:00+00:00,100,-31.3911,San Justo,-63.0014,Arroyito - 94003,--,94003,1,0.2,0.6,0.8,Córdoba,10.7,10.7,10.7,10.7,3.3,,,
27,0,,23/12/2013,2016-08-04 13:30:00+00:00,98,-31.0159,Balnearia,-62.7269,Balnearia - 94057,--,94057,1,0.2,0.6,1.2,Córdoba,12.2,12.4,12.4,12.4,3.6,,,
28,30,,14/07/2015,2016-08-04 13:30:00+00:00,98,-32.6732,Union,-62.591,Bell Ville - 94068,--,94068,1,0,0.4,0.4,Cordoba,10.7,11,11,11,2.3,,,
29,30,,07/12/2012,2016-08-04 13:30:00+00:00,96,-33.0106,Juarez Celman,-63.6772,Bengolea - 94008,--,94008,1,0.2,0.6,1,Córdoba,11.5,12.1,12.1,12.1,2.1,,,
30,30,,24/07/2013,2016-08-04 13:30:00+00:00,95,-34.7167,Gral. Roca,-63.4876,Buchardo - 94042,--,94042,1,0.2,0.8,1.4,Córdoba,9.4,10.2,10.2,10.2,5.7,,,
31,30,90,27/11/2012,2016-05-19 09:40:00+00:00,91,-31.6285,Rio Segundo,-63.1868,Calchín - 34103,--,34103,0,--,--,--,Córdoba,5.2,6.5,6.5,--,--,0,-0.0,0.0
32,30,,31/05/2013,2016-08-04 13:30:00+00:00,99,-33.5761,Unión,-62.8888,Canals - 94033,--,94033,1,0.2,1,1.4,Córdoba,9.2,9.3,9.3,9.3,4.8,,,
33,30,,18/01/2013,2016-08-04 09:40:00+00:00,92,-30.8601,Totoral,-63.7011,Candelaria - 94019,--,94019,1,0,0.4,0.4,Córdoba,0.9,2,2,7.1,2,,,
34,30,,18/01/2013,2016-08-04 13:30:00+00:00,75,-30.5224,Tulumba,-63.6292,Capilla de Siton - 94018,--,94018,1,0.2,0.4,0.6,Córdoba,13.2,17.7,17.7,17.7,5.2,,,
35,0,337.5,06/01/2014,2016-08-04 13:20:00+00:00,89,-33.5434,Rio Cuarto,-64.1963,Carolina - 34114,--,34114,1,0,0.2,0.2,Córdoba,11.3,13.1,13.1,13.1,4.1,8.9,3.4058823585510254,-8.222527503967285
36,30,,23/10/2012,2016-08-04 13:30:00+00:00,64,-33.6631,Rio Cuarto,-65.0897,Chajan - 94007,--,94007,1,0,0.2,0.4,Córdoba,9.9,16.6,16.6,16.6,5.5,,,
37,30,,05/11/2012,2016-08-03 14:10:00+00:00,100,-30.549,San Justo,-62.1391,Colonia 10 de Julio - 94053,--,94053,1,--,0.4,0.8,Córdoba,12.7,12.7,12.7,--,--,,,
38,30,,13/12/2012,2016-08-04 13:30:00+00:00,80,-31.4145,Capital,-64.1738,Cordoba - 94011,--,94011,1,0,0,0,Córdoba,8.5,11.8,11.8,11.8,7,,,
39,30,90,17/06/2014,2016-08-04 13:30:00+00:00,90,-33.6255,Río Cuarto,-64.6239,Coronel Moldes - 34111,--,34111,1,0,0.2,0.2,Córdoba,11.5,13,13,13,4.9,4.3,-4.300000190734863,1.8795897460677224e-07
